Datetime,Adj Close,Close,High,Low,Open,Volume,US/Eastern Timezone
2024-09-30 13:30:00+00:00,42211.37891,42211.37891,42302.32813,42204.78125,42289.75,0.0,2024-09-30 09:30:00-04:00
2024-09-30 13:31:00+00:00,42172.62891,42172.62891,42220.73047,42164.10938,42211.76172,1829351.0,2024-09-30 09:31:00-04:00
2024-09-30 13:32:00+00:00,42121.17188,42121.17188,42172.96094,42104.26172,42172.96094,2182654.0,2024-09-30 09:32:00-04:00
2024-09-30 13:33:00+00:00,42156.62891,42156.62891,42170.26172,42117.48828,42120.33984,1570229.0,2024-09-30 09:33:00-04:00
2024-09-30 13:34:00+00:00,42164.64063,42164.64063,42165.78906,42145.44141,42158.39063,1291002.0,2024-09-30 09:34:00-04:00
2024-09-30 13:35:00+00:00,42194.41016,42194.41016,42194.41016,42157.57813,42164.80859,1381797.0,2024-09-30 09:35:00-04:00
2024-09-30 13:36:00+00:00,42165.26953,42165.26953,42213.23047,42162.85938,42194.96875,1417198.0,2024-09-30 09:36:00-04:00
2024-09-30 13:37:00+00:00,42163.5,42163.5,42172.83984,42156.35156,42166.21875,1126239.0,2024-09-30 09:37:00-04:00
2024-09-30 13:38:00+00:00,42152.82031,42152.82031,42166.03125,42146.73828,42164.35156,1117552.0,2024-09-30 09:38:00-04:00
2024-09-30 13:39:00+00:00,42122.21875,42122.21875,42150.44141,42122.21875,42150.44141,916513.0,2024-09-30 09:39:00-04:00
2024-09-30 13:40:00+00:00,42123.73828,42123.73828,42126.78125,42116.76953,42124.23828,934880.0,2024-09-30 09:40:00-04:00
2024-09-30 13:41:00+00:00,42130.39063,42130.39063,42131.89844,42114.98828,42124.30078,880621.0,2024-09-30 09:41:00-04:00
2024-09-30 13:42:00+00:00,42126.67188,42126.67188,42138.44922,42122.83984,42131.51172,874943.0,2024-09-30 09:42:00-04:00
2024-09-30 13:43:00+00:00,42098.87109,42098.87109,42130.35156,42098.87109,42125.96875,716908.0,2024-09-30 09:43:00-04:00
2024-09-30 13:44:00+00:00,42092.03906,42092.03906,42099.85156,42086.21094,42094.17188,702064.0,2024-09-30 09:44:00-04:00
