,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,363.0,368.0,368.0,361.0,343.0,453.0
mean,4.9642313807463845,6.845788043478261,6.080163043478261,2.5609807149194928,3.559037900874636,9.7925297819226
std,2.91920328183689,3.920466444565355,3.2868162834643337,2.032205490157003,2.4271502690158857,5.635475311498124
min,1.5,1.25,1.0,0.5,1.25,1.25
5%,2.25,2.75,2.5,1.0,1.5,2.5
25%,3.25,4.25,3.75,1.5,2.25,6.0
50%,4.25,5.75,5.5,2.0,3.0,9.0
68%,5.0,7.25,6.75,2.25,3.5,11.0
90%,8.25,12.0,10.25,4.75,5.950000000000003,16.700000000000003
95%,10.0,15.574999999999989,12.662499999999994,8.0,8.974999999999994,20.75
99%,16.60499999999999,20.25,16.827499999999972,10.599999999999994,12.539999999999992,27.620000000000005
99.7%,21.642499999999984,21.899,19.4495,11.230000000000004,14.967499999999987,31.25
max,26.75,25.5,24.75,11.5,23.25,43.25
