,London 0-7 ET,US Open 7-10 ET,US Mid 10-15 ET,US Close 15-17 ET,Asia 18-24 ET,All day
count,35.0,35.0,44.0,35.0,35.0,46.0
mean,6.8428571428571425,3.9214285714285713,2.75,1.9071428571428573,3.65,7.793478260869565
std,2.3327004944138574,1.4675051715654799,1.6066721348293838,1.9899432026014794,1.8778899297443643,3.7639755681054425
min,2.0,1.75,0.75,0.75,0.5,2.0
5%,3.85,1.75,1.0375,0.75,1.5,3.25
25%,5.375,2.75,1.75,1.0,2.5,5.5625
50%,6.25,4.0,2.25,1.25,3.25,7.25
68%,7.5,4.5,3.25,1.75,3.7800000000000002,8.4
90%,10.05,6.15,4.100000000000001,3.75,5.800000000000001,12.0
95%,11.474999999999998,6.574999999999999,5.175000000000001,3.8249999999999993,6.524999999999995,13.5
99%,12.0,6.914999999999999,8.172500000000001,9.279999999999973,9.234999999999992,19.46249999999998
99.7%,12.0,6.974500000000001,9.45175000000001,11.184000000000026,9.770500000000007,21.58875000000001
max,12.0,7.0,10.0,12.0,10.0,22.5
